"record_type","year","period_start","period_end","operator","service","route_id","line_type","day_type","metric","metric_value","unit","data_status","source_url","source_id","notes"
"gtfs_snapshot","2024","2024-01-15","2024-04-28","VTA","VTA GTFS","","","","route_count","73","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4","transitland_vta_gtfs_8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: 8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4."
"gtfs_snapshot","2024","2024-01-15","2024-04-28","VTA","VTA GTFS","","","","stop_count","3297","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4","transitland_vta_gtfs_8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: 8d6d3e7b7268ab1eacb417a42a15ac7b20da00c4."
"gtfs_snapshot","2024","2024-08-12","2024-10-27","VTA","VTA GTFS","","","","route_count","84","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/4b5d5568516da4a90113f09f994505cc8dee286a","transitland_vta_gtfs_4b5d5568516da4a90113f09f994505cc8dee286a","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: 4b5d5568516da4a90113f09f994505cc8dee286a."
"gtfs_snapshot","2024","2024-08-12","2024-10-27","VTA","VTA GTFS","","","","stop_count","3386","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/4b5d5568516da4a90113f09f994505cc8dee286a","transitland_vta_gtfs_4b5d5568516da4a90113f09f994505cc8dee286a","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: 4b5d5568516da4a90113f09f994505cc8dee286a."
"gtfs_snapshot","2025","2025-01-13","2025-08-10","VTA","VTA GTFS","","","","route_count","82","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/dab0b673c7011971478107c6849c061ac40d3b3f","transitland_vta_gtfs_dab0b673c7011971478107c6849c061ac40d3b3f","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: dab0b673c7011971478107c6849c061ac40d3b3f."
"gtfs_snapshot","2025","2025-01-13","2025-08-10","VTA","VTA GTFS","","","","stop_count","3340","count","snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/dab0b673c7011971478107c6849c061ac40d3b3f","transitland_vta_gtfs_dab0b673c7011971478107c6849c061ac40d3b3f","Archived VTA GTFS snapshot; service dates are the feed validity window. GTFS version SHA1: dab0b673c7011971478107c6849c061ac40d3b3f."
"gtfs_snapshot","2026","2026-08-10","2026-10-25","VTA","VTA GTFS","","","","route_count","72","count","current_snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/1b963536c23260510bf4c586002d2643417f422c","transitland_vta_gtfs_1b963536c23260510bf4c586002d2643417f422c","Current 2026 VTA GTFS snapshot listed by Transitland; service dates are the feed validity window, not a full calendar year. GTFS version SHA1: 1b963536c23260510bf4c586002d2643417f422c."
"gtfs_snapshot","2026","2026-08-10","2026-10-25","VTA","VTA GTFS","","","","stop_count","3344","count","current_snapshot","https://www.transit.land/feeds/f-9q9-vta/versions/1b963536c23260510bf4c586002d2643417f422c","transitland_vta_gtfs_1b963536c23260510bf4c586002d2643417f422c","Current 2026 VTA GTFS snapshot listed by Transitland; service dates are the feed validity window, not a full calendar year. GTFS version SHA1: 1b963536c23260510bf4c586002d2643417f422c."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","10","","Saturday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","10","","Sunday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","10","","Weekday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","101","","Saturday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","101","","Sunday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","101","","Weekday","boardings","36.40909091","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
"route_month_daytype","2024","2024-01-01","2024-01-31","VTA","VTA fixed-route transit","102","","Saturday","boardings","0","boardings","published_historical","https://gis.vta.org/gis/rest/services/Hosted/Ridership_by_Route_Cumulative_Monthly2025/FeatureServer/0","vta_arcgis_ridership_monthly_2025","VTA ArcGIS published value; preserve as supplied for POC exploration and validate aggregation semantics with VTA before using as a headline KPI."
